country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",08-04-2025 22:00:00,25.7808257,84.7446768,OZONE,6.0,95.0,53.0
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",08-04-2025 22:00:00,24.7955,84.9994,NO2,2.0,10.0,6.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",08-04-2025 22:00:00,24.792403,84.992416,PM2.5,40.0,137.0,68.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",08-04-2025 22:00:00,24.792403,84.992416,CO,32.0,67.0,51.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",08-04-2025 22:00:00,24.762518,84.982348,NO2,19.0,25.0,23.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",08-04-2025 22:00:00,24.762518,84.982348,SO2,8.0,12.0,9.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",08-04-2025 22:00:00,24.762518,84.982348,CO,22.0,32.0,25.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",08-04-2025 22:00:00,25.697189,85.2459,NO2,13.0,33.0,20.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",08-04-2025 22:00:00,25.697189,85.2459,OZONE,49.0,309.0,137.0
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",08-04-2025 22:00:00,26.146529,87.454184,NH3,9.0,24.0,11.0
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",08-04-2025 22:00:00,25.5626095,84.663264,NO2,5.0,8.0,7.0
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",08-04-2025 22:00:00,24.75746,84.366208,PM2.5,38.0,301.0,144.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",08-04-2025 22:00:00,26.80365,84.51954,NO2,28.0,29.0,28.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",08-04-2025 22:00:00,26.80365,84.51954,NH3,2.0,5.0,4.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",08-04-2025 22:00:00,25.251013,86.989001,PM2.5,23.0,62.0,42.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",08-04-2025 22:00:00,25.251013,86.989001,NO2,17.0,26.0,20.0
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",08-04-2025 22:00:00,14.465052,78.824187,NH3,4.0,6.0,5.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",08-04-2025 22:00:00,16.9872867,81.7363176,CO,14.0,81.0,32.0
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",08-04-2025 22:00:00,13.67,79.35,NH3,1.0,2.0,1.0
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",08-04-2025 22:00:00,13.67,79.35,SO2,1.0,21.0,6.0
